CODIGO,UBICACIÓN,PRODUCTO,DESCRIPCIÓN,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO
S0235,,SPLITTER,DIVISOR DE FIBRA FUNDIDA,OPTICTIMES,FBT01-2-90/10,0,,,
S0236,,SPLITTER,SPLITTER 30/70,,SPL3070,0,,,
S0237,,ROUTERBOARD,"CLOUD SWITCH SERIES, 5-PORTDESK CRS305-1G-45+IN",MIKROTIK,X0025U1UE9,0,,,
S0238,,CINTA DE AISLAR,"CINTA AISLANTE DE VINIL, USO DOMESTICO / RESIDENCIAL, 1600, 18.4 mm X 18M, CINTA DE AISLAR",TEMFLEX,3M,17,,,
S0239,AREA G,SUJETADOR ,GRAPA- SUJETADOR DE POLIPROPILENO PARA CABLE PLANO,THORSMAN,TC5X8,100,,,
S0240,AREA H,FUSIONADORA,"ESTUCHE CON FUSIONADORA DE FIBRA OPTICA, NARANJA, MARCA SUMITOMO, MODELO TYPE-Q102-M12 / CARGADOR DE FUSIONADORA / PELADORA TERMICA PARA DESMOLDEO, GRIS, MARCA FUJIKURA, MODELO RS03 / FIBER CLEAVER, MARCA FTTx, MODELO S09 / 2 CABEZALES DE 8 / 2 CABEZALES DE 12 / CORTADORA DE 3 TIEMPOS MARCA FIS, MODELO F11301T",,,0,,,
S0241,,SPLITTER,"SPLITTER SIN CONECTORES, DIVISOR OPTICO 1X2 20/80",FIBERHOME,SSCA1X22131020X8002.4X251M,0,,,
S0242,,SPLITTER,"SPLITTER 1X8 PLC, COLOR AMARILLO, CONECTOR VERDE",,,0,,,
S0243,AREA H,SPLITTER,"PLC SPLITTER 1X16, VERDE- CABLE BLANCO",YOFC,300060407,13,,,
S0244,,LIMPIADOR,"Limpiador 9392 del conector fibra óptica,Conec IBC para las virolas de 8.2 ft m (FC, SC, ST y E2000), COLOR AZUL",BIC,9392,1,,,
S0245,,PONCHADORA,"HERRAMIENTA DE IMPACTO C/NAVAJA 110, AZUL CON NARANJA, REMATADORA",IDEAL,35-485,1,,,
S0246,,PONCHADORA,"HERRAMIENTA DE IMPACTO NAVAJA G110 MULTIPOSICION /V/ /V, GRIS CON AMARILLO, REMATADORA",SAXXON,G110,1,,,
S0247,,PELADORA,"PELADOR OPTICO DE FIBRA DE 3, AMARILLO",MILLER,FO-103-T-250-J,1,,,
S0248,AREA EX1,ANTENA,"LiteBeam airMAX M5 CPE hasta 100 Mbps, 5 GHz (5150 - 5875 MHz) con antena integrada de 23 dBi",UBIQUITINETWORKS,LBEM523,-10,,,
S0250,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP, 4 PARES 24 AWG, 305 MTS",,,0,,,
S0251,AREA EX3,SALCHICHA,CIERRE CONEX BAJAN OPTI C/ACOP SC-SC,FUSION GUARD,1035043,9,,,
S0252,AREA EX2,TENSOR,TENSOR LOOP CROSS OPT,CROSSOP+,12-DDC-TL,5300,,,
S0253,,GRAPA,"GRAPA PARA CABLE, CABLE STAPLE. REDONDOO, BLANCO 5MM, DE POLIETILENO",VOLTECK,GCU-5B,40,,,
S0254,AREA G ,LIQUIDO PARA CABEZALES,"LIQUIDO PARA LIMPIEZA DE CABEZALES DE IMPRESORA, COMPATIBLE CON TINTAS COMESTIBLES",DOT INKJET,1984,1,,,
S0255,AREA G,TINTA PARA IMPRESORA,"TINTA PREMIUM PARA IMPRESORA, BROTHER, CANON, EPSON, HP. 500 ML. COLOR NEGRO",XFUN TECHNOLOGY,TINEG,1,,,
S0256,AREA G,TINTA PARA IMPRESORA,"TINTA PREMIUM PARA IMPRESORA, BROTHER, CANON, EPSON, HP. 500 ML. COLOR MAGENTA",XFUN TECHNOLOGY,TINMAG,1,,,
S0257,AREA G,TINTA PARA IMPRESORA,"TINTA PREMIUM PARA IMPRESORA, BROTHER, CANON, EPSON, HP. 500 ML. COLOR AMARILLO",XFUN TECHNOLOGY,TINAM,0,,,
S0258,AREA G,TINTA PARA IMPRESORA,"TINTA PREMIUM PARA IMPRESORA, BROTHER, CANON, EPSON, HP. 500 ML. COLOR CIAN",XFUN TECHNOLOGY,TINCI,1,,,
S0259,AREA H,SPLITTER,DIVISOR OPTICO 13/14/15-TWC-1X2-40/60,SIN MARCA,TWC-1X2-40/60,18,,,
S0260,,TIJERAS,"TIJERA PARA KEVLAR USO MECANICO, ACERO Y PLÁSTICO",MILLER / RIPLEY,KS-1 SHEARS 80671,0,,,
S0261,AREA EX5,CARRETE DE FIBRA ÓPTICA,"CARRETE DE FIBRA ÓPTICA DE 2 KM, VARIAS MARCAS",VARIAS,NA,125,,,
